model,mae,rmse,mape
xgboost,3083.7702646579464,3835.2707571763003,11.22569505910974
catboost,3086.151502753549,3844.9565911697614,11.231534516711076
random_forest,3100.756956450122,3840.9249912169203,11.309554688877443
flaml_automl,3260.0532579817864,4067.037043566772,11.943004759306644
lightgbm,3516.8018384755733,4421.896536036476,12.850633232506322
