time,temperature,rain,snowfall,dew_point,relative_humidity,precipitation,snow_depth,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,es_load_actual_entsoe_transparency,es_load_forecast_entsoe_transparency,es_solar_generation_actual,es_wind_onshore_generation_actual,temp_aug,es_load_actual_entsoe_transparency_aug,es_load_actual_entsoe_transparency_lag1,es_load_actual_entsoe_transparency_lag2,es_load_actual_entsoe_transparency_ma3
2015-01-01 01:00:00,0.2335766423357664,0.0,0.0,0.3858695652173913,0.7865168539325843,0.0,0.0,0.3360323886639676,0.4048780487804878,0.0473537604456824,0.064066852367688,0.3262548262548262,0.2334046211263472,0.256014317822359,0.0075301204819277,0.3555107089382202,-0.28362865833562456,0.2362607196069905,0.4821698738228215,0.4821698738228215,0.39924812292399675
2015-01-01 02:00:00,0.2287104622871046,0.0,0.0,0.3804347826086957,0.7865168539325843,0.0,0.0,0.3441295546558705,0.4121951219512195,0.075208913649025,0.0919220055710306,0.3185328185328185,0.1726841950769488,0.2196786814284524,0.0075301204819277,0.3409934249072326,0.29550430346079487,0.1748910622736044,0.2334046211263472,0.4821698738228215,0.2960862300087058
2015-01-01 03:00:00,0.2311435523114355,0.0,0.0,0.375,0.7640449438202247,0.0,0.0,0.3360323886639676,0.4048780487804878,0.0919220055710306,0.1142061281337047,0.3050193050193049,0.1298276512768902,0.184008990260551,0.0063253012048192,0.3212681466050387,-0.9355557892728442,0.12954651313015408,0.1726841950769488,0.2334046211263472,0.17863882249339538
2015-01-01 04:00:00,0.2360097323600973,0.0,0.0,0.3695652173913044,0.7415730337078652,0.0,0.0,0.3481781376518219,0.4048780487804878,0.0891364902506963,0.1058495821727019,0.3262548262548262,0.114773346752212,0.1696911679014401,0.0051204819277108,0.3006314693053837,0.6249434764059688,0.11511268626345213,0.1298276512768902,0.1726841950769488,0.13909506436868366
2015-01-01 05:00:00,0.2360097323600973,0.0,0.0,0.3668478260869565,0.7303370786516854,0.0,0.0,0.3441295546558705,0.3634146341463415,0.075208913649025,0.0863509749303621,0.3262548262548262,0.1191764163207111,0.1631982019478897,0.0051204819277108,0.2862443851311763,0.07055093502884674,0.11869066183613593,0.114773346752212,0.1298276512768902,0.12125913811660444
2015-01-01 06:00:00,0.2384428223844282,0.0,0.0,0.3641304347826087,0.7191011235955056,0.0,0.0,0.3319838056680161,0.3414634146341463,0.1030640668523676,0.1142061281337047,0.3050193050193049,0.1345661928125131,0.1740198118704736,0.0052710843373493,0.2598789141331944,0.44931070799960426,0.12803143223281838,0.1191764163207111,0.114773346752212,0.12283865196181205
2015-01-01 07:00:00,0.2408759124087591,0.0,0.0,0.3641304347826087,0.7191011235955056,0.0,0.0,0.2793522267206478,0.3048780487804878,0.1058495821727019,0.1253481894150417,0.277992277992278,0.1226988719755105,0.1697744110546907,0.0081325301204819,0.2362476401275958,-0.5534847721460376,0.12348537550112312,0.1345661928125131,0.1191764163207111,0.12548049370291156
2015-01-01 08:00:00,0.2408759124087591,0.0,0.0,0.375,0.7415730337078652,0.0,0.0,0.2753036437246963,0.273170731707317,0.0863509749303621,0.1086350974930362,0.249034749034749,0.1454690317440349,0.1746441355198534,0.1118975903614458,0.200052079942712,1.3383801180123887,0.15271224896053476,0.1226988719755105,0.1345661928125131,0.1342446988440195
2015-01-01 09:00:00,0.267639902676399,0.0,0.0,0.3831521739130435,0.6966292134831461,0.0,0.0,0.2793522267206478,0.2609756097560975,0.128133704735376,0.1364902506963788,0.277992277992278,0.2131085671153604,0.2272538083742612,0.304066265060241,0.1746631078705813,0.19036504713781582,0.2135693246444465,0.1454690317440349,0.1226988719755105,0.1604254902783019
2015-01-01 10:00:00,0.3041362530413625,0.0,0.0,0.3994565217391305,0.651685393258427,0.0,0.0,0.2753036437246963,0.2317073170731707,0.1782729805013927,0.1782729805013927,0.2915057915057915,0.2674969597852979,0.2645467410305502,0.4814759036144578,0.1803919015689082,-0.31470261766181895,0.2621392461180718,0.2131085671153604,0.1454690317440349,0.20869151954823106
2015-01-01 11:00:00,0.3430656934306569,0.0,0.0,0.4293478260869565,0.6292134831460674,0.0,0.0,0.2510121457489879,0.2121951219512195,0.2284122562674094,0.233983286908078,0.2915057915057915,0.2920702813771125,0.2836926662781985,0.5850903614457832,0.1891803919015689,1.5991256952169446,0.3055400019506908,0.2674969597852979,0.2131085671153604,0.2575586027592569
2015-01-01 12:00:00,0.3819951338199512,0.0,0.0,0.4619565217391305,0.6067415730337079,0.0,0.0,0.2510121457489879,0.2146341463414634,0.2674094707520891,0.2729805013927576,0.2992277992277992,0.3163919989935841,0.3093731790560227,0.6034638554216868,0.1902870906842002,-0.1630397059945714,0.3307483422364699,0.2920702813771125,0.2674969597852979,0.29198641338533143
2015-01-01 13:00:00,0.4063260340632603,0.0,0.0,0.4891304347826087,0.6067415730337079,0.0,0.0,0.2226720647773279,0.1780487804878048,0.2785515320334262,0.2785515320334262,0.2992277992277992,0.314672705162075,0.3270623491217846,0.5983433734939759,0.1917192891087819,-0.16538900727644468,0.31143568877668026,0.3163919989935841,0.2920702813771125,0.3077116618442572
2015-01-01 14:00:00,0.4160583941605839,0.0,0.0,0.4972826086956522,0.6067415730337079,0.0,0.0,0.1781376518218623,0.1439024390243902,0.2228412256267409,0.2172701949860724,0.277992277992278,0.266700213863379,0.2834013152418214,0.5750000000000001,0.1763557060087233,-1.2271366492518379,0.2687244507660789,0.314672705162075,0.3163919989935841,0.29925497267301265
