time,temperature,rain,snowfall,dew_point,relative_humidity,precipitation,snow_depth,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,es_load_actual_entsoe_transparency,es_load_forecast_entsoe_transparency,es_solar_generation_actual,es_wind_onshore_generation_actual
2014-12-31T23:00,0.2457420924574209,0.0,0.0,0.40217391304347827,0.7865168539325843,0.0,0.0,0.27530364372469635,0.3780487804878049,0.04735376044568245,0.08356545961002786,0.27027027027027023,0.4821698738228215,0.47093463099980604,0.22220761469597922,0.36243114024316564
2015-01-01T00:00,0.2408759124087591,0.0,0.0,0.3940217391304348,0.7865168539325843,0.0,0.0,0.31983805668016196,0.40487804878048783,0.04178272980501393,0.07242339832869081,0.28378378378378377,0.4821698738228215,0.47093463099980604,0.22220761469597922,0.36243114024316564
2015-01-01T01:00,0.23357664233576642,0.0,0.0,0.38586956521739135,0.7865168539325843,0.0,0.0,0.3360323886639676,0.40487804878048783,0.04735376044568245,0.06406685236768803,0.3262548262548262,0.2334046211263472,0.25601431782235906,0.007530120481927712,0.3555107089382202
2015-01-01T02:00,0.22871046228710462,0.0,0.0,0.3804347826086957,0.7865168539325843,0.0,0.0,0.3441295546558705,0.4121951219512195,0.07520891364902507,0.09192200557103064,0.31853281853281856,0.17268419507694888,0.21967868142845248,0.007530120481927712,0.3409934249072326
2015-01-01T03:00,0.23114355231143552,0.0,0.0,0.375,0.7640449438202247,0.0,0.0,0.3360323886639676,0.40487804878048783,0.09192200557103064,0.11420612813370473,0.30501930501930496,0.12982765127689022,0.18400899026055106,0.006325301204819278,0.3212681466050387
2015-01-01T04:00,0.2360097323600973,0.0,0.0,0.3695652173913044,0.7415730337078652,0.0,0.0,0.3481781376518219,0.40487804878048783,0.08913649025069638,0.10584958217270195,0.3262548262548262,0.11477334675221207,0.16969116790144012,0.0051204819277108436,0.30063146930538376
2015-01-01T05:00,0.2360097323600973,0.0,0.0,0.36684782608695654,0.7303370786516854,0.0,0.0,0.3441295546558705,0.3634146341463415,0.07520891364902507,0.08635097493036212,0.3262548262548262,0.11917641632071119,0.1631982019478897,0.0051204819277108436,0.28624438513117634
2015-01-01T06:00,0.2384428223844282,0.0,0.0,0.36413043478260876,0.7191011235955056,0.0,0.0,0.33198380566801616,0.34146341463414637,0.10306406685236769,0.11420612813370473,0.30501930501930496,0.13456619281251314,0.17401981187047366,0.005271084337349398,0.25987891413319447
2015-01-01T07:00,0.2408759124087591,0.0,0.0,0.36413043478260876,0.7191011235955056,0.0,0.0,0.2793522267206478,0.3048780487804878,0.10584958217270195,0.12534818941504178,0.277992277992278,0.12269887197551055,0.1697744110546907,0.008132530120481929,0.23624764012759586
2015-01-01T08:00,0.2408759124087591,0.0,0.0,0.375,0.7415730337078652,0.0,0.0,0.27530364372469635,0.27317073170731704,0.08635097493036212,0.10863509749303621,0.24903474903474904,0.14546903174403492,0.17464413551985347,0.1118975903614458,0.20005207994271207
2015-01-01T09:00,0.26763990267639903,0.0,0.0,0.3831521739130435,0.6966292134831461,0.0,0.0,0.2793522267206478,0.26097560975609757,0.12813370473537603,0.13649025069637882,0.277992277992278,0.21310856711536041,0.22725380837426123,0.304066265060241,0.17466310787058134
